بقوائمها	قائِمَة
المطي	NOTFOUND
المطهرة	مَطْهَرَة,مُطَهَّر
المطعم	مَطْعَم,مُطَعَّم
المطاف	مَطاف
المضلين	مُضِلّ
المضلع	مُضَلَّع
المضطجع	مُضْطَجَع
المصورين	مُصَوِّر,مُصَوَّر
المصلين	مُصَلِّي
المصلون	مُصَلِّي
المصعد	مِصْعَد,مَصْعَد
المصريين	مِصْرِيّ
المصدقين	مُصَدَّق
المصباحين	مِصْباح
المشيخة	مَشْيَخَة
المشهور	مَشْهُور
المشلل	NOTFOUND
المشقة	مِشْق,مِشْقَة,مَشَقَّة
المشتهرات	NOTFOUND
المشبهات	NOTFOUND
المشاهد	مُشاهِد,مَشْهَد,مُشاهَد
المشاش	NOTFOUND
المشاءون	NOTFOUND
المسندي	NOTFOUND
المسنة	مُسِنّ
المسمومة	مَسْمُوم
المسطح	مُسَطَّح
المسرع	مُسْرِع
المسجدين	مَسْجِد
المستلم	مُسْتَلِم
المستطيل	مُسْتَطِيل
المستاجر	NOTFOUND
المساور	NOTFOUND
المزهر	مُزْهَر,مِزْهَر,مُزْهِر,مَزْهَر
المزبلة	مَزْبَلَة
المزادة	مَزادَة
المزاء	NOTFOUND
المرور	مُرُور
المرق	مَرَق
المرضع	مُرْضِع
المرسلات	مُرْسِل,مُرْسَل
المرسل	مُرْسِل,مُرْسَل
المرجئة	مُرْجِئ
المرتفعة	مُرْتَفَع,مُرْتَفِع
المرتد	مُرْتَدّ
المرتحل	NOTFOUND
المران	مِران,مُرّ
المراغي	NOTFOUND
المراغم	NOTFOUND
المرابطي	NOTFOUND
المرئي	مَرْئِيّ
المذنب	مُذَنَّب,مُذْنِب
المذل	مُذِلّ,مَذْل
المدر	مُدِرّ,مَدَر
المدائن	مَدائِن,مَدِينَة
المخيط	مُخَّيْط,مِخْيَط
المخلصين	مُخْلِص,مَخْلَص,مُخَلِّص
المخصوف	NOTFOUND
المخردل	NOTFOUND
المخراف	NOTFOUND
المختوم	NOTFOUND
المخبث	NOTFOUND
المخاض	مَخاض
المحيي	NOTFOUND
المحيل	مُحِيل
المحجل	مُحَجَّل
المحاربة	مُحارِب,مُحارَبَة
المجوف	مُجَوَّف
المجوسية	مَجُوسِيّ,مَجُوسِيَّة
المجوسي	مَجُوسِيّ
المجذية	NOTFOUND
المجدر	مُجَدَّر
المجبر	مُجَبِّر,مُجْبَر
المجاهرين	مُجاهِر
المجالدي	NOTFOUND
المجازي	مُجازِي,مَجازِيّ
المتوكلون	NOTFOUND
المتهم	مُتَّهَم,أَلَّم,مُتَّهِم,آلَم,أَلام,أَلِم-َ
المتنعمات	NOTFOUND
المتنطعون	NOTFOUND
المتمنون	مُتَمَنِّي
المتكبر	مُتَكَبِّر
المتعي	NOTFOUND
المتعففة	مُتَعَفِّف
المتعتين	NOTFOUND
المتشبهين	NOTFOUND
المتخلفين	مُتَخَلِّف
المتحدث	مُتَحَدِّث
المتحابون	NOTFOUND
المتالي	NOTFOUND
المت	أَلَّم,أَلَمّ,آلَم,أَلام,أَلِم-َ
المبدئ	NOTFOUND
المبايعة	مُبايَعَة
المباشرة	مُباشَرَة,مُباشِر
الماكل	NOTFOUND
الماقين	NOTFOUND
الماضي	ماضِي
المادبة	مَأْدُبَة
الماجد	ماجِد
المائلة	مائِل
المئين	مِئَة
المئشار	مِئْشار
اللين	لِين,لَيِّن
الليثيين	NOTFOUND
اللوطي	لُوطِيّ
اللوحين	لَوْح
اللهصلي	NOTFOUND
اللماس	NOTFOUND
اللعانين	NOTFOUND
اللعانون	NOTFOUND
اللدود	لَدُود
اللبستان	NOTFOUND
اللبث	لَبْث
اللاني	NOTFOUND
اللاعنون	NOTFOUND
اللؤلؤتين	لُؤْلُؤ
الكيل	كَيْل
الكيخاراني	NOTFOUND
الكون	كَوْن
الكوفيين	كُوفِيّ
الكوفيون	كُوفِيّ
الكوسج	كَوْسَج
الكوافر	NOTFOUND
الكهنة	كاهِن
الكم	آل,لَكَم,وَلِي-ِ,كَمّ
الكليبي	NOTFOUND
الكلاعيين	NOTFOUND
الكفة	كُفَّة,كِفَّة
الكفاف	كِفاف,كَفاف,كِفَّة
الكفارات	NOTFOUND
الكعبية	كَعْبِيّ
الكرش	كِرْش
الكراسي	كُرْسِيّ
الكراث	كَرّاث
الكرابيسي	NOTFOUND
الكراء	كِراء
الكدرة	كَدَرَة,كَدِر,كُدْرَة
الكحال	كَحّال,كِحال
الكتف	كِتاف,أَكْتَف,كَتِف,كِتْف
الكتائب	كَتِيبَة
الكبيرة	كَبِير,كَبِيرَة
الكاف	كاف
القينا	أَلْقَى
القيته	أُلْقِيَّة,أَلْقَى
القوارير	قارُورَة
القهما	لَقِي-َ,أَلَق-ِ,أَلَق,أَلْقَى
القمح	قَمْح
القلل	قُلَّة
القلانس	قَلَنْسُوَة
القك	لَقِي-َ,أَلَق-ِ,أَلَق,أَلْقَى
القطيعاء	NOTFOUND
القصعتين	قَصْعَة
القصد	قَصْد
القصار	قَصِير,قَصار,قَصّار
القسري	قَسْرِيّ
القسام	قَسّام,قَسام
القرين	قَرِين
القرم	قَرْم,قُرْمَة
القرطاس	قِرْطاس
القرض	قَرْض
القرشية	قُرَشِيّ
القرد	قِرْد
القرحاء	NOTFOUND
القرثع	NOTFOUND
القرة	قِرَّة,قُرَّة
القرام	قِرام
القرائن	قَرِينَة
القر	قَرّ
القت	أَلَق-ِ,قَتّ,أَلْقَى
القبي	NOTFOUND
القاهم	لَقِي-َ,أَلَق-ِ,أَلْقَى
القالة	قالَة
القاطع	قاطِع
القاصية	قاصِي
القاص	قاصّ
القارة	قارَّة,قارَة,قارّ
القابل	قابِل
