نابهم	ناب,أَبَى-َ
مجممة	NOTFOUND
مجملا	مُجْمِل,مُجْمَل
مجمعا	مُجَمِّع,مُجَمَّع,مَجْمَع,مُجْمَع
مجلودة	NOTFOUND
مجلودا	NOTFOUND
مجلا	NOTFOUND
مجل	مُجَلِّي
مجفف	مُجَفَّف,مُجَفِّف
مجزيا	NOTFOUND
مجزئ	NOTFOUND
مجروح	مَجْرُوح
مجردا	مُجَرَّد
مجربا	مُجَرَّب,مُجَرِّب
مجراه	مَجْرَى,مَجَرّ
مجخ	NOTFOUND
مجحا	NOTFOUND
مجح	NOTFOUND
مجتهد	مُجْتَهِد
مجتازون	NOTFOUND
مجبوب	NOTFOUND
مجبنة	مَجْبَنَة
مجانين	مَجّان,مَجْنُون
مجانون	مَجّان
مجامرهم	مِجْمَرَة
مجالدا	مُجالِد
مجاف	NOTFOUND
مجازفة	مُجازَفَة,مُجازِف
مثواه	مَثْوَى
مثنين	مُثَنَّى
مثمرا	مُثْمِر
مثلت	مَثُل,مَثَّل,مَثَل
مثلان	NOTFOUND
مثقلا	مُثْقَل,مُثَقَّل
مثراة	NOTFOUND
مثاعب	مَثْعَب
متونها	مَتْن
متوفيك	مُتَوَفَّى
متوضا	NOTFOUND
متوشح	NOTFOUND
متوحدا	مُتَوَحِّد
متوافون	NOTFOUND
متوافرون	مُتَوافِر
متواعدون	NOTFOUND
متواريا	NOTFOUND
متهم	مُتَّهَم,مُتَّهِم,مات
متهبطة	NOTFOUND
متنكرات	مُتَنَكِّر
متمن	مُتَمَنِّي
متمكنا	مُتَمَكِّن
متمطرات	NOTFOUND
متمسكا	مُتَمَسِّك
متمرد	مُتَمَرِّد
متمتع	NOTFOUND
متماسكين	مُتَماسِك
متلق	مُتَلَقِّي
متلفف	NOTFOUND
متلببا	NOTFOUND
متلاحكة	NOTFOUND
متقيا	مُتَّقِي
متقمصين	NOTFOUND
متقدمون	مُتَقَدِّم
متقدم	مُتَقَدِّم
متقبلتين	NOTFOUND
متقبلا	NOTFOUND
متقاربةقالوا	NOTFOUND
متفقين	مُتَّفِق
متفرقون	NOTFOUND
متفرقا	مُتَفَرِّق
متغيظ	NOTFOUND
متعوذ	NOTFOUND
متعلقين	مُتَعَلِّق
متعلقة	مُتَعَلِّق
متعتع	NOTFOUND
متعت	مَتَع-َ,مَتَّع
متعان	NOTFOUND
متع	مَتَع-َ,مُتْعَة,مَتَّع
متطيبة	NOTFOUND
متطيب	NOTFOUND
متطهرا	NOTFOUND
متضايقا	مُتَضايِق
متضاعف	NOTFOUND
متصدق	مُتَصَدِّق
متصارمان	NOTFOUND
متشوفين	NOTFOUND
متسلحين	NOTFOUND
متسع	مُتَّسِع,مُتَّسَع
متسج	NOTFOUND
متسترة	مُتَسَتِّر
متزرة	NOTFOUND
متزحفين	NOTFOUND
مترخص	NOTFOUND
مترجمين	مُتَرْجِم,مُتَرْجَم
متربعا	مُتَرَبِّع
متراخ	مُتَراخِي
متخوض	NOTFOUND
متحينين	NOTFOUND
متجرك	مَتْجَر
متجردا	مُتَجَرِّد
متجر	مَتْجَر
متتابعة	مُتَتابِع
متبعها	مُتَّبَع
متبعك	مُتَّبَع
متبع	مُتَّبَع
متاعي	مَتاع
متاعهم	مَتاع
متاعنا	مَتاع
متاخيين	NOTFOUND
متاخرا	NOTFOUND
مبيضين	مُبَيِّض
مبيضا	مَبِيض,مُبَيِّض
مبيته	مَبِيت,مُبَيِّت
مبيتا	مَبِيت,مُبَيِّت
مبلول	مَبْلُول
مبلوغة	NOTFOUND
مبلغه	مُبَلِّغ,مَبْلَغ
مبقلة	NOTFOUND
مبغضون	مُبْغَض,مُبْغِض
مبعدين	مُبْعَد
مبطوحة	NOTFOUND
مبشرين	مُبَشِّر
مبشرهم	مُبَشِّر
مبشرة	مِبْشَرَة,مُبَشِّر
مبسوطتان	مَبْسُوط
مبسوطة	مَبْسُوط
مبرك	NOTFOUND
مبداه	NOTFOUND
مبخلة	مَبْخَلَة
مبثوثة	NOTFOUND
مبتليكم	مُبْتَلِي,مُبْتَلّ,مُبْتَلَى
مبتلة	مُبْتَلّ
مبتغيات	مُبْتَغَى
مبتدع	مُبْتَدِع
مبتدا	NOTFOUND
مبايعة	مُبايَعَة
مباركات	مُبارَك
مبارز	مُبارِز
مباذر	NOTFOUND
مبادر	NOTFOUND
مباحا	مُباح
ماموم	NOTFOUND
مالهم	مال
مالكفساق	NOTFOUND
مالفها	NOTFOUND
مالحا	مالِح
مالج	مالَج
ماكثون	NOTFOUND
ماط	ماط-ِ
ماض	ماضِي
ماشيتهم	ماشَى,ماشِيَة,ماشِي
ماشيته	ماشَى,ماشِيَة,ماشِي
ماسورا	NOTFOUND
ماسور	NOTFOUND
ماسحه	ماسَح,ماسِح
مازورات	NOTFOUND
مازني	ماز-ِ
مازميها	NOTFOUND
مازحه	مازَح,مازِح
مازحا	مازَح,مازِح
ماردا	مارِد
مارج	NOTFOUND
ماذيانات	NOTFOUND
ماددتهم	مادّ
مادت	مادَى,مادّ,ماد-ِ
ماخوذ	NOTFOUND
ماخذها	NOTFOUND
ماحل	ماحِل
ماجورات	NOTFOUND
ماتا	مات
مابي	NOTFOUND
ماءهن	ماء
ماءهم	ماء
ماءنا	ماء
ماءك	ماء
مئونة	NOTFOUND
مئنة	NOTFOUND
مئزره	مِئْزَر
مؤوي	NOTFOUND
مؤنته	مُؤْنَة
مؤلف	مُؤَلِّف,مُؤَلَّف
مؤقت	مُؤَقَّت
مؤذنها	مُؤَذِّن
مؤديا	مُؤَدِّي,مُؤَدَّى
مؤخرون	مُؤَخَّر
مؤخرا	مُؤْخِر,مُؤَخَّر
مؤجلون	مُؤَجَّل
مؤثرا	مُؤَثِّر
مؤثر	مُؤَثِّر
مؤتمة	NOTFOUND
مؤبرا	مُؤَبِّر
مؤاكلة	مُؤاكِل
ليوقظه	أَيْقَظ,وَقَّظ
ليوقظ	أَيْقَظ,وَقَّظ
ليوسف	يُوسِف
ليوحنه	NOTFOUND
ليوجر	NOTFOUND
ليهوديين	يَهُودِيّ
ليهنك	أَهان
ليهن	أَهان,لَيّ,هَنّ-ِ,وَهَن-ِ,هان
ليهم	هَمّ,وَهَم-ِ,لَيّ,أَهَمّ,هَما,هام-ِ
ليهلن	أَهال,هَلَّن,هال,هال-ِ
ليهز	هَزّ
ليهريق	NOTFOUND
ليهراقن	NOTFOUND
ليهد	هَدَى-ِ,هَدّ,هاد,أَهْدَى,هَدّ-ِ
ليهادي	هادَى
لينم	أَنْمَى,نَمّ,نَما,نَمَى-ِ,نَمَّى,أَنام,نام-َ
لينكص	نَكَّص,نَكَص-ُِ
لينفض	نَفَض,نَفَّض,أَنْفَض,ٱِنْفَضّ
لينفروا	نَفَّر,نَفَر
لينطلق	ٱِنْطَلَق
لينصره	نَصَّر,نَصَر
لينزعه	نَزَّع,نَزَع-ِ
